Fixture ID,League,League Logo,League Flag,League Country,Date,Match Time,Home Team,Home Logo,Away Team,Away Logo,Home Score,Away Score,Status,Elapsed,Extra Time
1421865,Premier League,https://media.api-sports.io/football/leagues/368.png,https://media.api-sports.io/flags/sg.svg,Singapore,2026-04-24,11:30,Tampines Rovers,https://media.api-sports.io/football/teams/4206.png,Young Lions,https://media.api-sports.io/football/teams/4208.png,,,NS,,
1521338,Indian Super League,https://media.api-sports.io/football/leagues/323.png,https://media.api-sports.io/flags/in.svg,India,2026-04-24,11:30,NorthEast United,https://media.api-sports.io/football/teams/3479.png,Goa,https://media.api-sports.io/football/teams/3475.png,,,NS,,
1532678,League Two,https://media.api-sports.io/football/leagues/929.png,https://media.api-sports.io/flags/cn.svg,China,2026-04-24,11:30,Langfang Glory City,https://media.api-sports.io/football/teams/23270.png,Guangzhou Dandelion,https://media.api-sports.io/football/teams/25774.png,,,NS,,
1534281,1. Division,https://media.api-sports.io/football/leagues/117.png,https://media.api-sports.io/flags/by.svg,Belarus,2026-04-24,11:30,Uni Minsk,https://media.api-sports.io/football/teams/18857.png,Gomel II,https://media.api-sports.io/football/teams/23433.png,,,NS,,
1532679,League Two,https://media.api-sports.io/football/leagues/929.png,https://media.api-sports.io/flags/cn.svg,China,2026-04-24,11:35,Chengdu Rongcheng II,https://media.api-sports.io/football/teams/25839.png,Shangyu Pterosaur,https://media.api-sports.io/football/teams/19320.png,,,NS,,
1403820,Liga 1,https://media.api-sports.io/football/leagues/274.png,https://media.api-sports.io/flags/id.svg,Indonesia,2026-04-24,12:00,Persib Bandung,https://media.api-sports.io/football/teams/2445.png,Arema FC,https://media.api-sports.io/football/teams/2438.png,,,NS,,
1437846,U18 Premier League - South,https://media.api-sports.io/football/leagues/696.png,https://media.api-sports.io/flags/gb-eng.svg,England,2026-04-24,12:00,Southampton U18,https://media.api-sports.io/football/teams/15397.png,Leicester City U18,https://media.api-sports.io/football/teams/15394.png,,,NS,,
1442067,2. Lig,https://media.api-sports.io/football/leagues/205.png,https://media.api-sports.io/flags/tr.svg,Turkey,2026-04-24,12:00,Karacabey Belediyespor,https://media.api-sports.io/football/teams/7407.png,Bucaspor 1928,https://media.api-sports.io/football/teams/7396.png,,,NS,,
1456655,Liga Alef,https://media.api-sports.io/football/leagues/496.png,https://media.api-sports.io/flags/il.svg,Israel,2026-04-24,12:00,Hapoel Tirat HaCarmel,https://media.api-sports.io/football/teams/6169.png,Maccabi Neve Sha'anan,https://media.api-sports.io/football/teams/6197.png,,,PST,,
1456657,Liga Alef,https://media.api-sports.io/football/leagues/496.png,https://media.api-sports.io/flags/il.svg,Israel,2026-04-24,12:00,Hapoel Ironi Arraba,https://media.api-sports.io/football/teams/22334.png,Ironi Baka El Garbiya,https://media.api-sports.io/football/teams/6175.png,,,PST,,
1456658,Liga Alef,https://media.api-sports.io/football/leagues/496.png,https://media.api-sports.io/flags/il.svg,Israel,2026-04-24,12:00,Hapoel Beit Shean,https://media.api-sports.io/football/teams/6330.png,Ironi Nesher,https://media.api-sports.io/football/teams/4502.png,,,PST,,
1456660,Liga Alef,https://media.api-sports.io/football/leagues/496.png,https://media.api-sports.io/flags/il.svg,Israel,2026-04-24,12:00,Tira,https://media.api-sports.io/football/teams/6210.png,Maccabi Nujeidat Ahmed,https://media.api-sports.io/football/teams/6198.png,,,PST,,
1456661,Liga Alef,https://media.api-sports.io/football/leagues/496.png,https://media.api-sports.io/flags/il.svg,Israel,2026-04-24,12:00,Hapoel Ironi Karmiel,https://media.api-sports.io/football/teams/20101.png,Tzeirey Tamra,https://media.api-sports.io/football/teams/20110.png,,,PST,,
1456662,Liga Alef,https://media.api-sports.io/football/leagues/496.png,https://media.api-sports.io/flags/il.svg,Israel,2026-04-24,12:00,Maccabi K. Ata Bialik,https://media.api-sports.io/football/teams/20291.png,Hapoel Migdal HaEmek,https://media.api-sports.io/football/teams/6164.png,,,PST,,
1456895,Liga Alef,https://media.api-sports.io/football/leagues/496.png,https://media.api-sports.io/flags/il.svg,Israel,2026-04-24,12:00,Hapoel Azor,https://media.api-sports.io/football/teams/6146.png,FC Jerusalem,https://media.api-sports.io/football/teams/17996.png,,,PST,,
1456896,Liga Alef,https://media.api-sports.io/football/leagues/496.png,https://media.api-sports.io/flags/il.svg,Israel,2026-04-24,12:00,Hapoel Marmorek,https://media.api-sports.io/football/teams/4498.png,Tzeirey Tira,https://media.api-sports.io/football/teams/7609.png,,,PST,,
1456897,Liga Alef,https://media.api-sports.io/football/leagues/496.png,https://media.api-sports.io/flags/il.svg,Israel,2026-04-24,12:00,Holon Yermiyahu,https://media.api-sports.io/football/teams/6171.png,Dimona,https://media.api-sports.io/football/teams/6142.png,,,PST,,
